MONTH,STATUS,STORE,CITY,ZONE MAPPING,REVENUE COHORT,CM COHORT,EBITDA CATEGORY,EBITDA COHORT,ORDER COUNT,CART SALES,DISCOUNT,NET REVENUE,IDEAL FOOD COST,GROSS MARGIN,KITCHEN EBITDA,VARIANCE,EBITDA %,GM %,MONTH_SORT
2023-10-01,Active,Adams LLC,Ahmedabad,South,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,0% to 10%,14991,7275275.56,2071406.09,5328267.81,2517247.77,2744708.57,1525786.24,10983.05,28.635689766502185,51.5122112452527,2023-10-01
2023-10-01,Active,"Aguilar, Becker and Hernandez",Pune,East,INR 30 to 40 lacs,More than 30%,EBITDA -ve,More than 20%,11811,3561403.95,868767.88,2765074.26,1211271.41,1456824.63,-36376.38,28443.11,-1.3155661143075412,52.686636705373694,2023-10-01
2023-10-01,Active,Aguirre-Goodman,Ahmedabad,East,More than 40 lacs,10% to 20%,EBITDA +ve,More than 20%,10219,3760119.53,855750.21,3014886.72,1358839.67,1521874.71,215856.18,19757.02,7.159677959641547,50.47866972593915,2023-10-01
2023-10-01,Active,"Allen, Torres and Williams",Bangalore,North,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,10% to 20%,9158,3779573.52,650544.87,3218936.57,1038754.13,2129461.03,801006.38,11643.47,24.884192732011492,66.1541780551457,2023-10-01
2023-10-01,Active,Arroyo-Turner,Pune,South,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,8642,3374290.96,571233.9,2884765.77,1278186.52,1491545.13,214833.66,21793.29,7.447178631768082,51.704202313798255,2023-10-01
2023-10-01,Active,Ayers Group,Bangalore,East,INR 20 to 30 lacs,More than 30%,EBITDA -ve,10% to 20%,8386,4073660.47,697425.28,3471818.28,1579158.65,1748298.85,414264.27,27025.04,11.932199112679367,50.35686516403734,2023-10-01
2023-10-01,Active,Bailey Inc,Mumbai,North,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,0% to 10%,9419,4416662.16,873903.17,3583341.94,1549617.88,1911247.38,546816.39,29958.68,15.259955626785649,53.337008077995485,2023-10-01
2023-10-01,Active,"Baker, Baker and Horn",Ahmedabad,East,More than 40 lacs,More than 30%,EBITDA -ve,0% to 10%,7804,3291792.25,679017.46,2702309.68,1106467.19,1494898.38,134829.84,28662.03,4.989429634874416,55.319284501841395,2023-10-01
2023-10-01,Active,"Baker, Fletcher and Richmond",Bangalore,East,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,0% to 10%,14368,6780341.45,1618200.4,5253299.71,2039689.48,3099157.72,1694304.74,16457.2,32.25220020808598,58.99449662277122,2023-10-01
2023-10-01,Active,Ballard Ltd,Hyderabad,West,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,10% to 20%,8227,2930696.38,609241.14,2462233.72,699661.45,1662309.5,251535.67,23598.95,10.215751167602399,67.51225468555437,2023-10-01
2023-10-01,Active,Ballard-Johnson,Mumbai,East,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,10% to 20%,14452,6457674.32,1120812.4,5410179.06,1832110.1,3437014.0,2071176.92,10954.02,38.282964335010384,63.528655186506896,2023-10-01
2023-10-01,Active,Barber-Fields,Mumbai,South,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%,7878,2627309.67,765244.43,1950416.19,782191.01,1069119.85,-355594.57,15165.48,-18.231727762678183,54.814959775328774,2023-10-01
2023-10-01,Active,"Barker, Morgan and Hughes",Mumbai,West,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,10% to 20%,14227,6969454.49,1624253.35,5419267.18,2068269.05,3251296.03,1901641.02,27158.93,35.09037212666086,59.99512336278647,2023-10-01
2023-10-01,Active,Barnes PLC,Mumbai,South,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,13805,6639255.39,1469027.54,5247089.74,1967440.77,3218008.94,1793711.76,12612.98,34.18488817383939,61.329405431514495,2023-10-01
2023-10-01,Active,"Barron, Ross and Williams",Ahmedabad,East,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,0% to 10%,8989,2716663.1,591137.71,2232907.29,838056.22,1298166.23,-30393.28,28747.07,-1.3611527955556095,58.13793684197252,2023-10-01
2023-10-01,Active,Beck-Huff,Ahmedabad,East,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,More than 20%,13090,4767607.75,966485.96,3875592.45,1807308.83,1995567.66,642029.66,16850.36,16.565974577641672,51.490647836306934,2023-10-01
2023-10-01,Active,"Becker, Miller and Anderson",Ahmedabad,North,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,10% to 20%,11784,5090085.67,1193647.78,3982631.28,1893412.45,2007762.61,577552.71,12117.47,14.501787119996706,50.41296742891047,2023-10-01
2023-10-01,Active,Becker-Norris,Ahmedabad,South,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,0% to 10%,10355,4850297.57,977337.14,3977767.94,1240784.65,2616841.7,1279476.42,19197.47,32.16568787569845,65.78668588696002,2023-10-01
2023-10-01,Active,Berger Inc,Mumbai,West,INR 30 to 40 lacs,More than 30%,EBITDA -ve,10% to 20%,9786,3032706.12,727557.69,2426183.17,743326.97,1611837.0,259865.74,24700.52,10.71088709266745,66.43509113122732,2023-10-01
2023-10-01,Active,"Berry, Allen and Kim",Pune,South,More than 40 lacs,More than 30%,EBITDA -ve,10% to 20%,12227,5889550.18,1426839.89,4591572.06,1959909.42,2513141.64,1095082.57,21405.77,23.84983956889049,54.733795030541245,2023-10-01
2023-10-01,Active,Black LLC,Pune,North,More than 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,12553,3914122.44,726242.95,3302893.73,1040736.1,2129517.0,799397.18,11967.56,24.20293371049513,64.47428146590717,2023-10-01
2023-10-01,Active,"Boyd, Walker and Smith",Bangalore,East,INR 30 to 40 lacs,More than 30%,EBITDA +ve,More than 20%,9843,3416984.98,633332.27,2881942.83,906299.09,1890996.29,522232.91,12536.63,18.12086293189931,65.61532971145024,2023-10-01
2023-10-01,Active,Bradley-Davis,Ahmedabad,East,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,10% to 20%,9470,3984449.62,626917.07,3439915.7,1063755.05,2243374.8,956791.57,20148.11,27.814390044500215,65.21598189164925,2023-10-01
2023-10-01,Active,"Brown, Davidson and Parrish",Hyderabad,East,INR 20 to 30 lacs,More than 30%,EBITDA -ve,More than 20%,12245,5340191.44,1543640.26,3883900.58,1819274.01,1921571.29,497682.22,25002.36,12.813979393880365,49.47529552880574,2023-10-01
2023-10-01,Active,Brown-Watts,Hyderabad,North,More than 40 lacs,0% to 10%,EBITDA +ve,0% to 10%,12046,5605002.26,1196476.42,4485856.41,1983099.98,2401576.93,1165078.53,22453.86,25.972265349438594,53.536642961783976,2023-10-01
2023-10-01,Active,"Buchanan, Williams and Hines",Ahmedabad,East,More than 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,14763,4882522.95,1200729.09,3794088.03,1701913.49,1989098.13,519834.31,23418.21,13.70116628527462,52.426251427803585,2023-10-01
2023-10-01,Active,Bullock-Taylor,Bangalore,South,More than 40 lacs,10% to 20%,EBITDA +ve,More than 20%,12367,5898273.39,1167546.73,4828312.25,2188431.74,2517151.26,1273430.09,27167.12,26.37422817880099,52.13314983926318,2023-10-01
2023-10-01,Active,Burton Inc,Bangalore,West,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,10% to 20%,7229,2840217.11,439198.17,2537514.85,812536.62,1576927.99,129026.39,16765.95,5.084754085281511,62.14458173515713,2023-10-01
2023-10-01,Active,"Bush, Ortiz and Williams",Ahmedabad,West,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,0% to 10%,8525,2648886.11,628120.91,2105679.43,827798.37,1193377.76,-214498.8,27528.9,-10.186678795641747,56.67423744553557,2023-10-01
2023-10-01,Active,Byrd-Brown,Mumbai,North,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,0% to 10%,13852,6447255.18,1110612.93,5441228.23,1826131.47,3489766.09,2113766.69,25041.88,38.84723449653939,64.13563156125872,2023-10-01
2023-10-01,Active,Cain-Gonzalez,Bangalore,South,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,More than 20%,9313,4066160.22,846742.88,3273811.9,1178077.35,1973987.07,707672.11,11238.41,21.6161505796958,60.29628855585747,2023-10-01
